,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
세계(World),709,697,761,809,842,898,930,892,956,997,"1,043.00","1,095.00","1,142.00","1,197.00","1,243.00","1,332.00","1,407.00","1,459.00",474.2,535,633,705,744,856,973,886,979,"1,080.00","1,117.00","1,204.00","1,274.00","1,223.00","1,254.00","1,349.00","1,463.00","1,487.00",474.2,535,633,705,744,856,973,886,979,"1,080.00","1,117.00","1,204.00","1,274.00","1,223.00","1,254.00","1,349.00","1,463.00","1,487.00"
유럽(Europe),407.4,408.6,420.8,452.9,462.1,485.4,485.2,462.7,490.6,516,540.9,566.9,576.2,606.6,621.8,676.6,716,744.2,,,333.3,353.9,378.3,434.1,471.8,412.5,427.1,464.7,455.7,492.4,517.1,470.5,472.7,522.7,574.1,578.2,,,,,,,,,,,,,,,,,,
북유럽(NorthernEurope),43.8,44.5,47.4,54.9,56.5,58.1,60.8,57.1,57,64.5,65.5,67.4,70.8,70.1,74,81,81,82.6,,,49.3,56.3,61.2,69.5,68.5,58.5,61.4,66.3,68.5,74.8,84.9,82.7,83.6,88.2,93.6,95.7,,,,,,,,,,,,,,,,,,
덴마크(Denmark),2,3.5,4.4,9.2,9.3,9.3,9,8.5,8.7,7.9,8.4,8.6,10.3,10.4,10.8,12.4,12.7,13.3,5.8,5.3,5.7,5.3,5.6,6,6.2,5.6,5.9,6.8,6.5,7,7.6,6.7,7.5,8.5,9.1,9,6.9,6.7,7.3,6.9,7.5,8.8,9.7,9,9,10,9.8,10.1,10.5,9,9.2,9.8,10.5,10.1
핀란드(Finland),2.9,2.6,2.8,2.1,3.4,3.5,3.6,3.4,2.3,4.2,2.8,2.8,2.7,2.6,2.8,3.2,3.2,3.3,1.6,1.9,2.1,2.2,2.4,2.8,3.2,2.8,3.1,3.8,3.9,4.1,3.7,2.6,2.6,3.4,3.7,3.7,2,2.4,2.8,3.1,3.4,4,4.5,4.4,4.3,4.9,4.9,5.3,5.3,4.8,5.1,5.6,6.1,5.7
아이슬란드(Iceland),0.7,0.8,0.8,0.4,1,1.1,1.1,0.5,0.5,0.6,0.7,0.8,1,1.3,1.8,2.2,2.3,2,,,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.9,1.1,1.4,1.6,2.4,3,3.1,2.7,,,,,,,,,,,,,,,,,,
아일랜드(Ireland),6.5,6.4,7,7.3,8,8.3,8,7.2,7.1,7.6,7.6,8.3,8.8,9.5,10.1,10.3,10.9,,3.8,3.9,4.4,4.8,5.3,6.1,6.3,5,4.1,4.2,3.9,4.5,4.9,4.8,5.2,5.6,6.8,6.4,3.7,4.7,5.2,6.1,6.8,8.6,10.4,7.8,7.1,6.7,5.9,6.2,6.4,5.7,6.2,6.6,7.6,8.2
노르웨이(Norway),3.1,3.3,3.6,3.8,4.1,4.4,4.3,4.3,4.8,5,4.4,4.8,4.9,5.4,6,6.3,5.7,5.9,2.7,2.5,3.1,3.5,3.8,4.5,4.9,4.2,4.7,5.3,5.4,5.6,5.6,4.9,5.2,5.6,5.9,5.9,5.8,6.7,8.8,9.7,11.7,12.4,14.6,12,13.5,15.7,16.6,18.5,18.4,15.3,15.4,16.2,17.1,16.5
스웨덴(Sweden),7.5,3,3,4.9,4.7,5.1,4.6,4.9,5.2,10,12.4,11,5.5,6.5,6.8,7.1,7.4,,4.7,5.3,6.2,6.6,9.1,10.9,11.2,10.3,8.3,10.6,10.1,10.9,11.8,11.3,12.8,14.1,14.9,15.2,7.2,8.2,10.2,10,11.2,13.6,14.7,11.9,12.1,15.4,14,15.3,15.8,14.4,14.9,17,18.1,17.4
영국(UnitedKingdom),24.2,24.7,25.7,28,30.7,30.9,30.1,28.2,28.3,29.3,29.3,31.1,32.6,34.4,35.8,39.5,38.7,39.4,17.6,22.8,28.2,33.6,34.6,38.6,36,30.1,34.7,35.6,37.2,41.6,50,50.8,47.9,48,50.1,52.7,40.4,47.9,56.5,68.3,63.1,71.4,68.5,50.1,60.7,55.6,56,57.4,67.4,67.9,67.2,66.4,70.9,71.9
서유럽(WesternEurope),138,136.1,139,141.7,149.6,153.9,153.2,148.5,154.4,161.5,166.2,170.8,175.3,181.5,181.6,192.7,200.2,205.2,,,122.3,121.8,131.8,149.5,162.1,144.5,152.4,162.9,156.2,167.1,174.1,155.3,154.3,166.6,182.9,179.4,,,,,11.2,,14.7,,,,,,,,,,,
